Trial,0,637.9,1275.7,1913.5,2551.3,3189.4,3827.2,4465.1,5102.8,5740.6,6378.6,7016.4,7654.5,8292.5,8930.5,9568.3,10206.1,10843.9,11481.7,12119.7,12757.5,13395.5,14033.4,14671.3,15309.1,15947,16585.1,17222.9,17860.9,18498.7,19136.5,19774.4,20412.2,21050.3,21688.1,22326,22963.9,23601.7,24239.6,24877.5,25515.6,26153.5,26791.4,27429.6,28067.4,28706.2,29344.3,29982.1,30620.2,31258.1,31896,32533.9,33171.9,33809.8,34447.7,35085.6,35723.4,36361.4,36999.2,37637.1,38275,38912.9,39550.9,40188.8,40826.6,41464.5,42102.4,42740.3
A01,0.045000002,0.0449,0.045200001,0.0451,0.045899998,0.046300001,0.047600001,0.048500001,0.049800001,0.053800002,0.055500001,0.058600001,0.063000001,0.068499997,0.075599998,0.085199997,0.097800002,0.111599997,0.130600005,0.150999993,0.170599997,0.194700003,0.221300006,0.244800001,0.273900002,0.299400002,0.332300007,0.371899992,0.408399999,0.448700011,0.482800007,0.524699986,0.550599992,0.566299975,0.597100019,0.605199993,0.632399976,0.645200014,0.671800017,0.68690002,0.710200012,0.721800029,0.726800025,0.737500012,0.737999976,0.755100012,0.758700013,0.765600026,0.770500004,0.770200014,0.780200005,0.781700015,0.787800014,0.787699997,0.800700009,0.799700022,0.801400006,0.814499974,0.812699974,0.803200006,0.808700025,0.799399972,0.805999994,0.797500014,0.78490001,0.793900013,0.777999997,0.792400002
A02,0.045899998,0.045899998,0.046,0.046399999,0.046799999,0.047600001,0.048599999,0.049600001,0.050900001,0.054299999,0.058200002,0.064599998,0.074600004,0.089199997,0.108499996,0.126699999,0.150299996,0.175899997,0.212500006,0.248999998,0.285100013,0.334899992,0.390599996,0.433999985,0.476599991,0.506699979,0.523599982,0.541000009,0.555999994,0.566100001,0.582499981,0.595799983,0.610499978,0.610899985,0.629400015,0.630800009,0.651300013,0.659200013,0.685800016,0.683300018,0.711499989,0.714100003,0.727599978,0.743200004,0.736299992,0.762300014,0.763499975,0.773500025,0.780700028,0.792599976,0.812300026,0.81190002,0.8301,0.83130002,0.847899973,0.85680002,0.853399992,0.873300016,0.885800004,0.889500022,0.906599998,0.9023,0.930899978,0.939199984,0.930000007,0.958100021,0.934499979,0.961600006
A03,0.045600001,0.0458,0.046100002,0.046599999,0.0471,0.048300002,0.0502,0.050799999,0.052299999,0.055799998,0.058800001,0.063199997,0.068599999,0.075800002,0.084799998,0.094800003,0.1074,0.122000001,0.139799997,0.158800006,0.179499999,0.204099998,0.228,0.250400007,0.275299996,0.29460001,0.320800006,0.355800003,0.388500005,0.418900013,0.452800006,0.487300009,0.523599982,0.545099974,0.573000014,0.586000025,0.612500012,0.62529999,0.645500004,0.653299987,0.670300007,0.682099998,0.694400012,0.713,0.716700017,0.732599974,0.736000001,0.744700015,0.752499998,0.757399976,0.76700002,0.766700029,0.772400022,0.770399988,0.778599977,0.77579999,0.770299971,0.777999997,0.778199971,0.773000002,0.786300004,0.787699997,0.795300007,0.790099978,0.777499974,0.784200013,0.768400013,0.779399991
A04,0.044599999,0.044799998,0.0451,0.045299999,0.045699999,0.0462,0.047800001,0.048300002,0.049600001,0.0526,0.054299999,0.0579,0.061900001,0.067199998,0.074199997,0.082000002,0.092900001,0.105599999,0.123000003,0.142100006,0.161699995,0.184599996,0.208499998,0.2359,0.262800008,0.289200008,0.320199996,0.359100014,0.397799999,0.438899994,0.475199997,0.520200014,0.548600018,0.567499995,0.597199976,0.609099984,0.634199977,0.648699999,0.672599971,0.688300014,0.716000021,0.725799978,0.730700016,0.7403,0.744899988,0.761799991,0.765999973,0.774200022,0.779299974,0.782899976,0.789699972,0.790400028,0.79519999,0.794499993,0.803499997,0.801400006,0.799199998,0.811100006,0.815999985,0.814100027,0.817600012,0.810400009,0.817200005,0.808499992,0.797900021,0.803900003,0.790000021,0.802999973
A05,0.044500001,0.0449,0.045499999,0.045699999,0.045899998,0.046700001,0.0484,0.0491,0.051100001,0.056200001,0.061500002,0.071000002,0.083899997,0.103,0.129299998,0.155300006,0.194700003,0.236599997,0.316300005,0.387100011,0.432099998,0.478100002,0.510299981,0.5273,0.555100024,0.564999998,0.574400008,0.60860002,0.613900006,0.630800009,0.642099977,0.659200013,0.669200003,0.66930002,0.683700025,0.683899999,0.706499994,0.703100026,0.709500015,0.724099994,0.716199994,0.733900011,0.728600025,0.761099994,0.75150001,0.779999971,0.799099982,0.790899992,0.825999975,0.803499997,0.853200018,0.829699993,0.870899975,0.868200004,0.873700023,0.891799986,0.869099975,0.908999979,0.916299999,0.905600011,0.934400022,0.926699996,0.933799982,0.943400025,0.925999999,0.949400008,0.921500027,0.942700028
A06,0.045699999,0.045899998,0.046999998,0.047600001,0.046399999,0.047400001,0.048799999,0.049600001,0.051199999,0.0546,0.057300001,0.0623,0.067699999,0.074699998,0.084299996,0.0942,0.1087,0.124600001,0.146400005,0.164499998,0.187099993,0.210800007,0.237800002,0.258399993,0.28639999,0.310000002,0.342299998,0.381900012,0.416599989,0.449400008,0.480300009,0.51789999,0.551599979,0.57099998,0.600700021,0.610599995,0.631699979,0.64289999,0.665400028,0.676999986,0.696099997,0.711099982,0.721199989,0.742299974,0.746100008,0.761200011,0.766300023,0.772700012,0.779999971,0.781300008,0.791899979,0.795099974,0.801999986,0.801999986,0.809199989,0.807399988,0.801599979,0.810100019,0.808200002,0.801699996,0.810000002,0.805899978,0.82099998,0.823899984,0.816200018,0.827300012,0.811999977,0.822799981
A07,0.0471,0.048099998,0.048099998,0.048,0.0482,0.048500001,0.049600001,0.050099999,0.0506,0.052499998,0.053300001,0.056299999,0.057100002,0.059500001,0.068000004,0.065300003,0.067900002,0.072099999,0.076800004,0.081900001,0.086900003,0.093900003,0.101199999,0.110200003,0.1184,0.127499998,0.138300002,0.148900002,0.158199996,0.169200003,0.181400001,0.195800006,0.207699999,0.217600003,0.2359,0.239199996,0.252700001,0.256599993,0.270099998,0.273600012,0.281800002,0.288300008,0.293199986,0.30219999,0.306699991,0.319499999,0.323599994,0.330900013,0.3389,0.345499992,0.358599991,0.363299996,0.375099987,0.3829,0.397100002,0.400200009,0.402399987,0.413300008,0.418000013,0.417499989,0.429399997,0.429100007,0.439399987,0.441000015,0.439799994,0.452800006,0.447100013,0.462300003
A08,0.0462,0.047400001,0.048999999,0.0484,0.0495,0.0493,0.052099999,0.052900001,0.054099999,0.0594,0.065700002,0.074000001,0.086199999,0.102600001,0.122000001,0.139699996,0.161699995,0.185200006,0.212799996,0.241500005,0.273900002,0.318199992,0.360300004,0.410400003,0.449600011,0.484499991,0.502399981,0.527800024,0.534300029,0.541199982,0.553900003,0.568599999,0.57160002,0.576300025,0.594500005,0.599799991,0.628000021,0.64289999,0.645600021,0.670300007,0.675700009,0.689700007,0.684000015,0.708700001,0.682600021,0.720899999,0.736800015,0.715900004,0.755800009,0.724600017,0.739600003,0.753899992,0.763599992,0.765500009,0.811100006,0.782800019,0.808600008,0.820299983,0.83160001,0.797999978,0.875,0.851400018,0.885100007,0.89289999,0.869000018,0.900399983,0.871100008,0.901199996
A09,0.046300001,0.046399999,0.047800001,0.047200002,0.047800001,0.0482,0.049800001,0.050500002,0.0515,0.0537,0.055100001,0.0579,0.0605,0.064499997,0.068400003,0.074299999,0.081,0.090000004,0.101599999,0.114,0.125200003,0.143900007,0.158199996,0.182099998,0.202199996,0.219600007,0.235400006,0.257699996,0.282700002,0.297600001,0.323799998,0.344099998,0.358200014,0.36469999,0.380600005,0.389699996,0.405000001,0.4199,0.433600008,0.451999992,0.45449999,0.471300006,0.4736,0.494500011,0.502900004,0.517400026,0.531700015,0.532700002,0.544700027,0.547299981,0.56129998,0.56279999,0.571699977,0.580500007,0.597800016,0.594799995,0.599699974,0.612399995,0.61559999,0.612999976,0.620999992,0.625800014,0.627099991,0.629700005,0.617200017,0.634500027,0.62470001,0.646399975
